manuscript_type,novel_biologging,other_data,biologging_fair,other_fair,authors,title,source,year,volume,issue,doi,pub_type,id
,,,,,"Melovski, D; Ivanov, G; Stojanov, A; Avukatov, V; Gonuv, A; Pavlov, A; Breitenmoser, U; von Arx, M; Filla, M; Krofel, M; Signer, J; Balkenhol, N","First insight into the spatial and foraging ecology of the critically endangered Balkan lynx (Lynx lynx balcanicus, Buresh 1941)",HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,2020,31,1,10.4404/hystrix-00254-2015,J,melovski2020
,,,,,"Nussbaumer, R; Gravey, M; Briedis, M; Liechti, F",Global positioning with animal-borne pressure sensors,METHODS IN ECOLOGY AND EVOLUTION,2023,14,4,10.1111/2041-210X.14043,J,nussbaumer2023a
,,,,,"Paun, I; Husmeier, D; Hopcraft, JGC; Masolele, MM; Torney, CJ",Inferring spatially varying animal movement characteristics using a hierarchical continuous-time velocity model,ECOLOGY LETTERS,2022,25,12,10.1111/ele.14117,J,paun2022
,,,,,"Khosravifard, S; Venus, V; Skidmore, AK; Bouten, W; Munoz, AR; Toxopeus, AG",Identification of Griffon Vulture's Flight Types Using High-Resolution Tracking Data,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,2018,12,3,10.1007/s41742-018-0093-z,J,khosravifard2018
,,,,,"Mercker, M; Schwemmer, P; Peschko, V; Enners, L; Garthe, S",Analysis of local habitat selection and large-scale attraction/avoidance based on animal tracking data: is there a single best method?,MOVEMENT ECOLOGY,2021,9,1,10.1186/s40462-021-00260-y,J,mercker2021
,,,,,"Daunt, F; Reed, TE; Newell, M; Burthe, S; Phillips, RA; Lewis, S; Wanless, S",Longitudinal bio-logging reveals interplay between extrinsic and intrinsic carry-over effects in a long-lived vertebrate,ECOLOGY,2014,95,8,10.1890/13-1797.1,J,daunt2014
,,,,,"Smouse, PE; Focardi, S; Moorcroft, PR; Kie, JG; Forester, JD; Morales, JM",Stochastic modelling of animal movement,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2010,365,1550,10.1098/rstb.2010.0078,J,smouse2010
,,,,,"Kour, H; Patison, KP; Corbet, NJ; Swain, DL",Recording cattle maternal behaviour using proximity loggers and tri-axial accelerometers,APPLIED ANIMAL BEHAVIOUR SCIENCE,2021,240,NA,10.1016/j.applanim.2021.105349,J,kour2021a
,,,,,"Parga, JA",Nocturnal ranging by a diurnal primate: are ring-tailed lemurs (Lemur catta) cathemeral?,PRIMATES,2011,52,3,10.1007/s10329-011-0257-3,J,parga2011
,,,,,"Shuert, CR; Marcoux, M; Hussey, NE; Heide-Jorgensen, MP; Dietz, R; Auger-Methe, M",Decadal migration phenology of a long-lived Arctic icon keeps pace with climate change,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2022,119,45,10.1073/pnas.2121092119,J,shuert2022
,,,,,"Janeau, G; Adrados, C; Joachim, J; Gendner, JP; Pepin, D",Performance of differential GPS collars in temperate mountain forest,COMPTES RENDUS BIOLOGIES,2004,327,12,10.1016/j.crvi.2004.07.014,J,janeau2004
,,,,,"Afonso, AS; Hazin, FHV","Post-release survival and behavior and exposure to fisheries in juvenile tiger sharks, Galeocerdo cuvier, from the South Atlantic",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2014,454,NA,10.1016/j.jembe.2014.02.008,J,afonso2014
,,,,,"Cardona, L; Revelles, M; Carreras, C; San Felix, M; Gazo, M; Aguilar, A",Western Mediterranean immature loggerhead turtles: habitat use in spring and summer assessed through satellite tracking and aerial surveys,MARINE BIOLOGY,2005,147,3,10.1007/s00227-005-1578-9,J,cardona2005
,,,,,"Lennox, RJ; Dahlmo, LS; Ford, AT; Sortland, LK; Vogel, EF; Vollset, KW",Predation research with electronic tagging,WILDLIFE BIOLOGY,2023,2023,1,10.1002/wlb3.01045,J,lennox2023a
,,,,,"Gardaloud, NR; Guse, C; Lidauer, L; Steininger, A; Kickinger, F; Ohlschuster, M; Auer, W; Iwersen, M; Drillich, M; Klein-Jobstl, D",Early Detection of Respiratory Diseases in Calves by Use of an Ear-Attached Accelerometer,ANIMALS,2022,12,9,10.3390/ani12091093,J,gardaloud2022
,,,,,"van der Kolk, HJ; Desmet, P; Oosterbeek, K; Allen, AM; Baptist, MJ; Bom, RA; Davidson, SC; Jong, JD; Kroon, HD; Dijkstra, B; Dillerop, R; Dokter, AM; Frauendorf, M; Milotic, T; Rakhimberdiev, E; Shamoun-Baranes, J; Spanoghe, G; van de Pol, M; Van Ryckegem, G; Vanoverbeke, J; Jongejans, E; Ens, BJ",GPS tracking data of Eurasian oystercatchers (Haematopus ostralegus) from the Netherlands and Belgium,ZOOKEYS,2022,NA,1123,10.3897/zookeys.1123.90623,J,vanderkolk2022a
,,,,,"Lonergan, M; Duck, CD; Thompson, D; Moss, S; McConnell, B",British grey seal (Halichoerus grypus) abundance in 2008: an assessment based on aerial counts and satellite telemetry,ICES JOURNAL OF MARINE SCIENCE,2011,68,10,10.1093/icesjms/fsr161,J,lonergan2011
,,,,,"Skarin, A; Danell, O; Bergstrom, R; Moen, J",Summer habitat preferences of GPS-collared reindeer Rangifer tarandus tarandus,WILDLIFE BIOLOGY,2008,14,1,10.2981/0909-6396(2008)14[1:SHPOGR]2.0.CO;2,J,skarin2008
,,,,,"JANEAU, G; SPITZ, F; LECRIVAIN, E; DARDAILLON, M; KOWALSKI, C",AN AUTOMATIC BIOTELEMETRY SYSTEM FOR FREE RANGING ANIMALS,ACTA OECOLOGICA-OECOLOGIA APPLICATA,1987,8,4,NA,J,janeau1987
,,,,,"Rogers, PJ; Huveneers, C; Page, B; Goldsworthy, SD; Coyne, M; Lowther, AD; Mitchell, JG; Seuront, L","Living on the continental shelf edge: habitat use of juvenile shortfin makos Isurus oxyrinchus in the Great Australian Bight, southern Australia",FISHERIES OCEANOGRAPHY,2015,24,3,10.1111/fog.12103,J,rogers2015
,,,,,"Epstein, JH; Olival, KJ; Pulliam, JRC; Smith, C; Westrum, J; Hughes, T; Dobson, AP; Zubaid, A; Rahman, SA; Basir, MM; Field, HE; Daszak, P","Pteropus vampyrus, a hunted migratory species with a multinational home-range and a need for regional management",JOURNAL OF APPLIED ECOLOGY,2009,46,5,10.1111/j.1365-2664.2009.01699.x,J,epstein2009
,,,,,"Blanchet, MA; Acquarone, M; Biuw, M; Larsen, R; Nordoy, ES; Folkow, LP",A Life After Research? First Release of Harp Seals (Pagophilus groenlandicus) After Temporary Captivity for Scientific Purposes,AQUATIC MAMMALS,2018,44,4,10.1578/AM.44.4.2018.343,J,blanchet2018
,,,,,"Volpov, BL; Hoskins, AJ; Battaile, BC; Viviant, M; Wheatley, KE; Marshall, G; Abernathy, K; Arnould, JPY",Identification of Prey Captures in Australian Fur Seals (Arctocephalus pusillus doriferus) Using Head-Mounted Accelerometers: Field Validation with Animal-Borne Video Cameras,PLOS ONE,2015,10,6,10.1371/journal.pone.0128789,J,volpov2015
,,,,,"Shimada, T; Limpus, C; Jones, R; Hamann, M",Aligning habitat use with management zoning to reduce vessel strike of sea turtles,OCEAN & COASTAL MANAGEMENT,2017,142,NA,10.1016/j.ocecoaman.2017.03.028,J,shimada2017
,,,,,"Huon, M; Planque, Y; Jessopp, MJ; Cronin, M; Caurant, F; Vincent, C",Fine-scale foraging habitat selection by two diving central place foragers in the Northeast Atlantic,ECOLOGY AND EVOLUTION,2021,11,18,10.1002/ece3.7934,J,huon2021
,,,,,"Ripperger, S; Gunther, L; Wieser, H; Duda, N; Hierold, M; Cassens, B; Kapitza, R; Koelpin, A; Mayer, F",Proximity sensors on common noctule bats reveal evidence that mothers guide juveniles to roosts but not food,BIOLOGY LETTERS,2019,15,2,10.1098/rsbl.2018.0884,J,ripperger2019
,,,,,"Jonsen, ID; Flemming, JM; Myers, RA",Robust state-space modeling of animal movement data,ECOLOGY,2005,86,11,10.1890/04-1852,J,jonsen2005
,,,,,"McGranahan, DA; Geaumont, B; Spiess, JW",Assessment of a livestock GPS collar based on an open-source datalogger informs best practices for logging intensity,ECOLOGY AND EVOLUTION,2018,8,11,10.1002/ece3.4094,J,mcgranahan2018
,,,,,"Hughey, LF; Shoemaker, KT; Stewart, KM; McCauley, DJ; Cushman, JH",Effects of human-altered landscapes on a reintroduced ungulate: Patterns of habitat selection at the rangeland-wildland interface,BIOLOGICAL CONSERVATION,2021,257,NA,10.1016/j.biocon.2021.109086,J,hughey2021
,,,,,"Kobayashi, DR; Polovina, JJ; Parker, DM; Kamezaki, N; Cheng, IJ; Uchida, I; Dutton, PH; Balazs, GH","Pelagic habitat characterization of loggerhead sea turtles, Caretta caretta, in the North Pacific Ocean (1997-2006): Insights from satellite tag tracking and remotely sensed data",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2008,356,1-2,10.1016/j.jembe.2007.12.019,J,kobayashi2008
,,,,,"Bombieri, G; Penteriani, V; Delgado, MD; Groff, C; Pedrotti, L; Jerina, K",Towards understanding bold behaviour of large carnivores: the case of brown bears in human-modified landscapes,ANIMAL CONSERVATION,2021,24,5,10.1111/acv.12680,J,bombieri2021
,,,,,"Hayashi, R",Past biodiversity: Historical Japanese illustrations document the distribution of whales and their epibiotic barnacles,ECOLOGICAL INDICATORS,2014,45,NA,10.1016/j.ecolind.2014.05.031,J,hayashi2014
,,,,,"Thums, M; Waayers, D; Huang, Z; Pattiaratchi, C; Bernus, J; Meekan, M",Environmental predictors of foraging and transit behaviour in flatback turtles Natator depressus,ENDANGERED SPECIES RESEARCH,2017,32,NA,10.3354/esr00818,J,thums2017
,,,,,"White, TD; Carlisle, AB; Kroodsma, DA; Block, BA; Casagrandi, R; De Leo, GA; Gatto, M; Michell, F; McCauley, DJ",Assessing the effectiveness of a large marine protected area for reef shark conservation,BIOLOGICAL CONSERVATION,2017,207,NA,10.1016/j.biocon.2017.01.009,J,white2017
,,,,,"Lea, MA; Wilson, B","Techniques for real-time, active tracking of sea lions",SEA LIONS OF THE WORLD,2006,NA,NA,NA,C,lea2006
,,,,,"McClintock, BT; Michelot, T",momentuHMM: R package for generalized hidden Markov models of animal movement,METHODS IN ECOLOGY AND EVOLUTION,2018,9,6,10.1111/2041-210X.12995,J,mcclintock2018
,,,,,"Naro-Maciel, E; Arengo, F; Galante, P; Vintinner, E; Holmes, KE; Balazs, G; Sterling, EJ","Marine protected areas and migratory species: residency of green turtles at Palmyra Atoll, Central Pacific",ENDANGERED SPECIES RESEARCH,2018,37,NA,10.3354/esr00922,J,naromaciel2018
,,,,,"Feldt, T; Schlecht, E",Analysis of GPS trajectories to assess spatio-temporal differences in grazing patterns and land use preferences of domestic livestock in southwestern Madagascar,PASTORALISM-RESEARCH POLICY AND PRACTICE,2016,6,NA,10.1186/s13570-016-0052-2,J,feldt2016
,,,,,"Jeantet, L; Vigon, V; Geiger, S; Chevallier, D",Fully Convolutional Neural Network: A solution to infer animal behaviours from multi-sensor data,ECOLOGICAL MODELLING,2021,450,NA,10.1016/j.ecolmodel.2021.109555,J,jeantet2021
,,,,,"Postlethwaite, CM; Dennis, TE",Effects of Temporal Resolution on an Inferential Model of Animal Movement,PLOS ONE,2013,8,5,10.1371/journal.pone.0057640,J,postlethwaite2013
,,,,,"Rafiq, K; Appleby, RG; Edgar, JP; Radford, C; Smith, BP; Jordan, NR; Dexter, CE; Jones, DN; Blacker, ARF; Cochrane, M",WildWID: An open-source active RFID system for wildlife research,METHODS IN ECOLOGY AND EVOLUTION,2021,12,9,10.1111/2041-210X.13651,J,rafiq2021a
,,,,,"Lennox, RJ; Aarestrup, K; Cooke, SJ; Cowley, PD; Deng, ZQD; Fisk, AT; Harcourt, RG; Heupel, M; Hinch, SG; Holland, KN; Hussey, NE; Iverson, SJ; Kessel, ST; Kocik, JF; Lucas, MC; Flemming, JM; Nguyen, VM; Stokesbury, MJW; Vagle, S; Vanderzwaag, DL; Whoriskey, FG; Young, N","Envisioning the Future of Aquatic Animal Tracking: Technology, Science, and Application",BIOSCIENCE,2017,67,10,10.1093/biosci/bix098,J,lennox2017
,,,,,"Bestley, S; Jonsen, ID; Hindell, MA; Harcourt, RG; Gales, NJ",Taking animal tracking to new depths: synthesizing horizontal-vertical movement relationships for four marine predators,ECOLOGY,2015,96,2,10.1890/14-0469.1,J,bestley2015
,,,,,"Eckert, SA; Moore, JE; Dunn, DC; van Buiten, RS; Eckert, KL; Halpin, PN",Modeling loggerhead turtle movement in the Mediterranean: Importance of body size and oceanography,ECOLOGICAL APPLICATIONS,2008,18,2,10.1890/06-2107.1,J,eckert2008
,,,,,"Walton, Z; Mattisson, J","Down a hole: missing GPS positions reveal birth dates of an underground denning species, the red fox",MAMMALIAN BIOLOGY,2021,101,3,10.1007/s42991-020-00089-9,J,walton2021a
,,,,,"Krone, O; Berger, A; Schulte, R",Recording movement and activity pattern of a White-tailed Sea Eagle (Haliaeetus albicilla) by a GPS datalogger,JOURNAL OF ORNITHOLOGY,2009,150,1,10.1007/s10336-008-0347-1,J,krone2009
,,,,,"Lenske, AK; Nocera, JJ",Field test of an automated radio-telemetry system: tracking local space use of aerial insectivores,JOURNAL OF FIELD ORNITHOLOGY,2018,89,2,10.1111/jofo.12254,J,lenske2018
,,,,,"Thaker, M; Gupte, PR; Prins, HHT; Slotow, R; Vanak, AT",Fine-Scale Tracking of Ambient Temperature and Movement Reveals Shuttling Behavior of Elephants to Water,FRONTIERS IN ECOLOGY AND EVOLUTION,2019,7,NA,10.3389/fevo.2019.00004,J,thaker2019
,,,,,"Moorcroft, PR","Mechanistic approaches to understanding and predicting mammalian space use: recent advances, future directions",JOURNAL OF MAMMALOGY,2012,93,4,10.1644/11-MAMM-S-254.1,J,moorcroft2012
,,,,,"Suzuki, I; Sato, K; Fahlman, A; Naito, Y; Miyazaki, N; Trites, AW","Drag, but not buoyancy, affects swim speed in captive Steller sea lions",BIOLOGY OPEN,2014,3,5,10.1242/bio.20146130,J,suzuki2014
,,,,,"Herlin, A; Brunberg, E; Hultgren, J; Hogberg, N; Rydberg, A; Skarin, A",Animal Welfare Implications of Digital Tools for Monitoring and Management of Cattle and Sheep on Pasture,ANIMALS,2021,11,3,10.3390/ani11030829,J,herlin2021
,,,,,"Waite, JN; Trumble, SJ; Burkanov, VN; Andrews, RD",Resource partitioning by sympatric Steller sea lions and northern fur seals as revealed by biochemical dietary analyses and satellite telemetry,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2012,416,NA,10.1016/j.jembe.2012.02.009,J,waite2012
,,,,,"Lok, EK; Esler, D; Takekawa, JY; De La Cruz, SW; Boyd, WS; Nysewander, DR; Evenson, JR; Ward, DH",Spatiotemporal associations between Pacific herring spawn and surf scoter spring migration: evaluating a 'silver wave' hypothesis,MARINE ECOLOGY PROGRESS SERIES,2012,457,NA,10.3354/meps09692,J,lok2012
,,,,,"GUDMUNDSSON, GA; BENVENUTI, S; ALERSTAM, T; PAPI, F; LILLIENDAHL, K; AKESSON, S",EXAMINING THE LIMITS OF FLIGHT AND ORIENTATION PERFORMANCE - SATELLITE TRACKING OF BRENT GEESE MIGRATING ACROSS THE GREENLAND ICE-CAP,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,1995,261,1360,10.1098/rspb.1995.0119,J,gudmundsson1995
,,,,,"Sharples, RJ; Mackenzie, ML; Hammond, PS",Estimating seasonal abundance of a central place forager using counts and telemetry data,MARINE ECOLOGY PROGRESS SERIES,2009,378,NA,10.3354/meps07827,J,sharples2009
,,,,,"Westdal, KH; Richard, PR; Orr, JR",Availability bias in population survey of Northern Hudson Bay narwhal (Monodon monoceros),POLAR BIOLOGY,2013,36,9,10.1007/s00300-013-1342-4,J,westdal2013
,,,,,"Zhang, JJ; Deng, XQ; Xie, YB; Li, LX; Batbayar, N; Damba, I; Meng, FJ; Cao, L; Fox, AD",The importance of the Qinghai-Tibet Plateau for Bar-headed Geese Anser indicus: results from GPS/GSM telemetry,WILDFOWL,2020,70,NA,NA,J,zhang2020a
,,,,,"Cottin, M; Kato, A; Thierry, AM; Le Maho, Y; Raclot, T; Ropert-Coudert, Y",Does corticosterone affect diving behaviour of male Adelie Penguins? A preliminary experimental study,ORNITHOLOGICAL SCIENCE,2011,10,1,10.2326/osj.10.3,J,cottin2011
,,,,,"Angelier, F; Bost, CA; Giraudeau, M; Bouteloup, G; Dano, S; Chastel, O","Corticosterone and foraging behavior in a diving seabird: The Adelie penguin, Pygoscelis adeliae",GENERAL AND COMPARATIVE ENDOCRINOLOGY,2008,156,1,10.1016/j.ygcen.2007.12.001,J,angelier2008
,,,,,"Naidoo, R; Du Preez, P; Stuart-Hill, G; Weaver, LC; Jago, M; Wegmann, M",Factors affecting intraspecific variation in home range size of a large African herbivore,LANDSCAPE ECOLOGY,2012,27,10,10.1007/s10980-012-9807-3,J,naidoo2012
,,,,,"Liu, ZYC; Moxley, JH; Kanive, P; Gleiss, AC; Maughan, T; Bird, L; Jewell, OJD; Chapple, TK; Gagne, T; White, CF; Jorgensen, SJ",Deep learning accurately predicts white shark locomotor activity from depth data,ANIMAL BIOTELEMETRY,2019,7,1,10.1186/s40317-019-0175-5,J,liu2019a
,,,,,"Medri, IM; Mourao, G","Home range of giant anteaters (Myrmecophaga tridactyla) in the Pantanal wetland, Brazil",JOURNAL OF ZOOLOGY,2005,266,NA,10.1017/S0952836905007004,J,medri2005
,,,,,"Namgail, T; Takekawa, JY; Balachandran, S; Sathiyaselvam, P; Mundkur, T; Newman, SH",Space use of wintering waterbirds in India: Influence of trophic ecology on home-range size,CURRENT ZOOLOGY,2014,60,5,10.1093/czoolo/60.5.616,J,namgail2014
,,,,,"Krause, J; Krause, S; Arlinghaus, R; Psorakis, I; Roberts, S; Rutz, C",Reality mining of animal social systems,TRENDS IN ECOLOGY & EVOLUTION,2013,28,9,10.1016/j.tree.2013.06.002,J,krause2013
,,,,,"ALKON, PU; COHEN, Y; JORDAN, PA",TOWARDS AN ACOUSTIC BIOTELEMETRY SYSTEM FOR ANIMAL BEHAVIOR STUDIES,JOURNAL OF WILDLIFE MANAGEMENT,1989,53,3,10.2307/3809192,J,alkon1989
,,,,,"Studd, EK; Derbyshire, RE; Menzies, AK; Simms, JF; Humphries, MM; Murray, DL; Boutin, S",The Purr-fect Catch: Using accelerometers and audio recorders to document kill rates and hunting behaviour of a small prey specialist,METHODS IN ECOLOGY AND EVOLUTION,2021,12,7,10.1111/2041-210X.13605,J,studd2021
,,,,,"Maurmann, I; Greiner, BAE; von Korn, S; Bernau, M",Lying Behaviour in Dairy Goats: Effects of a New Automated Feeding System Assessed by Accelerometer Technology,ANIMALS,2021,11,8,10.3390/ani11082370,J,maurmann2021
,,,,,"Ban, M; Moskat, C; Fulop, A; Hauber, ME",Return migration of Common Cuckoos (Cuculus canorus) between breeding grounds in Hungary and wintering grounds in Africa as documented by non-PTT GPS technology,JOURNAL OF ORNITHOLOGY,2018,159,2,10.1007/s10336-017-1508-x,J,ban2018
,,,,,"Rhodes, EC; Perotto-Baldivieso, HL; Reeves, MC; Gonzalez, LA",Perspectives on the Special Issue for Applications of Remote Sensing for Livestock and Grazingland Management,REMOTE SENSING,2022,14,8,10.3390/rs14081882,J,rhodes2022
,,,,,"Vardanis, Y; Klaassen, RHG; Strandberg, R; Alerstam, T",Individuality in bird migration: routes and timing,BIOLOGY LETTERS,2011,7,4,10.1098/rsbl.2010.1180,J,vardanis2011
,,,,,"Bolton, M; Conolly, G; Carroll, M; Wakefield, ED; Caldow, R",A review of the occurrence of inter-colony segregation of seabird foraging areas and the implications for marine environmental impact assessment,IBIS,2019,161,2,10.1111/ibi.12677,J,bolton2019
,,,,,"Kjellen, N; Hake, M; Alerstam, T","Tinting and speed of migration in male, female and juvenile Ospreys Pandion haliaetus between Sweden and Africa as revealed by field observations, radar and satellite tracking",JOURNAL OF AVIAN BIOLOGY,2001,32,1,10.1034/j.1600-048X.2001.320108.x,J,kjellen2001
,,,,,"Freitas, C; Kovacs, KM; Ims, RA; Fedak, MA; Lydersen, C",Deep into the ice: over-wintering and habitat selection in male Atlantic walruses,MARINE ECOLOGY PROGRESS SERIES,2009,375,NA,10.3354/meps07725,J,freitas2009
,,,,,"Shariati Najafabadi, M; Darvishzadeh, R; Skidmore, AK; Kolzsch, A; Vrieling, A; Nolet, BA; Exo, KM; Meratnia, N; Havinga, PJM; Stahl, J; Toxopeus, AG",Satellite- versus temperature-derived green wave indices for predicting the timing of spring migration of avian herbivores,ECOLOGICAL INDICATORS,2015,58,NA,10.1016/j.ecolind.2015.06.005,J,shariatinajafabadi2015
,,,,,"Enstipp, MR; Bost, CA; Le Bohec, C; Chatelain, N; Weimerskirch, H; Handrich, Y",The early life of king penguins: ontogeny of dive capacity and foraging behaviour in an expert diver,JOURNAL OF EXPERIMENTAL BIOLOGY,2021,224,12,10.1242/jeb.242512,J,enstipp2021
,,,,,"Shillinger, GL; Swithenbank, AM; Bailey, H; Bograd, SJ; Castelton, MR; Wallace, BP; Spotila, JR; Paladino, FV; Piedra, R; Block, BA",Vertical and horizontal habitat preferences of post-nesting leatherback turtles in the South Pacific Ocean,MARINE ECOLOGY PROGRESS SERIES,2011,422,NA,10.3354/meps08884,J,shillinger2011
,,,,,"Pepin, D; Adrados, C; Mann, C; Janeau, G",Assessing real daily distance traveled by ungulates using differential GPS locations,JOURNAL OF MAMMALOGY,2004,85,4,10.1644/BER-022,J,pepin2004
,,,,,"Hart, KM; Lamont, MM; Fujisaki, I; Tucker, AD; Carthy, RR",Common coastal foraging areas for loggerheads in the Gulf of Mexico: Opportunities for marine conservation,BIOLOGICAL CONSERVATION,2012,145,1,10.1016/j.biocon.2011.10.030,J,hart2012a
,,,,,"Papastamatiou, YP; Watanabe, YY; Bradley, D; Dee, LE; Weng, K; Lowe, CG; Caselle, JE","Drivers of Daily Routines in an Ectothermic Marine Predator: Hunt Warm, Rest Warmer?",PLOS ONE,2015,10,6,10.1371/journal.pone.0127807,J,papastamatiou2015a
,,,,,"Whetten, AB",Smoothing splines of apex predator movement: Functional modeling strategies for exploring animal behavior and social interactions,ECOLOGY AND EVOLUTION,2021,11,24,10.1002/ece3.8294,J,whetten2021
,,,,,"Pape, R; Loffler, J",Seasonality of habitat selection shown to buffer alpine reindeer pastoralism against climate variability,ECOSPHERE,2015,6,12,10.1890/ES15-00169.1,J,pape2015a
,,,,,"Welch, DW; Boehlert, GW; Ward, BR",POST - the Pacific Ocean salmon tracking project,OCEANOLOGICA ACTA,2002,25,5,10.1016/S0399-1784(02)01206-9,J,welch2002
,,,,,"Lander, ME; Logsdon, ML; Loughlin, TR; Van Blaricom, GR",Spatial patterns and scaling behaviors of Steller sea lion (Eumetopias jubatus) distributions and their environment,JOURNAL OF THEORETICAL BIOLOGY,2011,274,1,10.1016/j.jtbi.2011.01.015,J,lander2011
,,,,,"Etherington, TR; Pietravalle, S; Cowan, DP",Visualising uncertainty in radio-telemetry wildlife-tracking data to aid better study design,WILDLIFE RESEARCH,2010,37,6,10.1071/WR09151,J,etherington2010
,,,,,"Wilson, RP; Holton, M; Wilson, VL; Gunner, R; Tysse, B; Wilson, GI; Quintana, F; Duarte, C; Scantlebury, DM",Towards informed metrics for examining the role of human-induced animal responses in tag studies on wild animals,INTEGRATIVE ZOOLOGY,2019,14,1,10.1111/1749-4877.12328,J,wilson2019
,,,,,"Migli, D; Astaras, C; Boutsis, G; Diakou, A; Karantanis, NE; Youlatos, D",Spatial Ecology and Diel Activity of European Wildcat (Felis silvestris) in a Protected Lowland Area in Northern Greece,ANIMALS,2021,11,11,10.3390/ani11113030,J,migli2021
,,,,,"Aoki, K; Sakai, M; Miller, PJO; Visser, F; Sato, K",Body contact and synchronous diving in long-finned pilot whales,BEHAVIOURAL PROCESSES,2013,99,NA,10.1016/j.beproc.2013.06.002,J,aoki2013
,,,,,"Nosal, AP; Cartamil, DP; Wegner, NC; Lam, CH; Hastings, PA",Movement ecology of young-of-the-year blue sharks Prionace glauca and shortfin makos Isurus oxyrinchus within a putative binational nursery area,MARINE ECOLOGY PROGRESS SERIES,2019,623,NA,10.3354/meps13021,J,nosal2019
,,,,,"McCarthy, TM; Fuller, TK; Munkhtsog, B",Movements and activities of snow leopards in Southwestern Mongolia,BIOLOGICAL CONSERVATION,2005,124,4,10.1016/j.biocon.2005.03.003,J,mccarthy2005
,,,,,"Price-Rees, SJ; Lindstrom, T; Brown, GP; Shine, R","The effects of weather conditions on dispersal behaviour of free-ranging lizards (Tiliqua, Scincidae) in tropical Australia",FUNCTIONAL ECOLOGY,2014,28,2,10.1111/1365-2435.12189,J,pricerees2014
,,,,,"de la Rosa, CA",An inexpensive and open-source method to study large terrestrial animal diet and behaviour using time-lapse video and GPS,METHODS IN ECOLOGY AND EVOLUTION,2019,10,5,10.1111/2041-210X.13146,J,delarosa2019
,,,,,"Pirinen, N; Pastell, M; Mykkanen, A; McGowan, C; Hyytiainen, H",Validation of a tail-mounted triaxial accelerometer for measuring foals' lying and motor behavior,JOURNAL OF VETERINARY BEHAVIOR-CLINICAL APPLICATIONS AND RESEARCH,2020,39,NA,10.1016/j.jveb.2020.06.004,J,pirinen2020
,,,,,"Klaassen, RHG; Ens, BJ; Shamoun-Baranes, J; Exo, KM; Bairlein, F","Migration strategy of a flight generalist, the Lesser Black-backed Gull Larus fuscus",BEHAVIORAL ECOLOGY,2012,23,1,10.1093/beheco/arr150,J,klaassen2012
,,,,,"Kranstauber, B",Modelling animal movement as Brownian bridges with covariates,MOVEMENT ECOLOGY,2019,7,NA,10.1186/s40462-019-0167-3,J,kranstauber2019
,,,,,"Heard, DC; Ciarniello, LM; Seip, DR",Grizzly bear behavior and global positioning system collar fix rates,JOURNAL OF WILDLIFE MANAGEMENT,2008,72,3,10.2193/2007-175,J,heard2008
,,,,,"Byrne, ME; Webster, SC; Lance, SL; Love, CN; Hinton, TG; Shamovich, D; Beasley, JC",Evidence of long-distance dispersal of a gray wolf from the Chernobyl Exclusion Zone,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,2018,64,4,10.1007/s10344-018-1201-2,J,byrne2018
,,,,,"Wells, RS; Fougeres, EM; Cooper, AG; Stevens, RO; Brodsky, M; Lingenfelser, R; Dold, C; Douglas, DC",Movements and Dive Patterns of Short-Finned Pilot Whales (Globicephala macrorhynchus) Released from a Mass Stranding in the Florida Keys,AQUATIC MAMMALS,2013,39,1,10.1578/AM.39.1.2013.61,J,wells2013
,,,,,"Bartlam-Brooks, HLA; Beck, PSA; Bohrer, G; Harris, S",In search of greener pastures: Using satellite images to predict the effects of environmental change on zebra migration,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2013,118,4,10.1002/jgrg.20096,J,bartlambrooks2013a
,,,,,"Jacoby, DMP; Watanabe, YY; Packard, T; Healey, M; Papastamatiou, YP; Gallagher, AJ",First descriptions of the seasonal habitat use and residency of scalloped hammerhead (Sphyrna lewini) and Galapagos sharks (Carcharhinus galapagensis) at a coastal seamount off Japan,ANIMAL BIOTELEMETRY,2022,10,1,10.1186/s40317-022-00293-z,J,jacoby2022
,,,,,"Sobczuk, M; Klich, D; Uciechowska-Grakowicz, A; Olech, W",Exploration Behaviour of European Bison (Bison bonasus) after Its Reintroduction to Zednia Forest District in North-Eastern Poland,DIVERSITY-BASEL,2023,15,4,10.3390/d15040575,J,sobczuk2023
,,,,,"Shipley, ON; Brownscombe, JW; Danylchuk, AJ; Cooke, SJ; O'Shea, OR; Brooks, EJ",Fine-scale movement and activity patterns of Caribbean reef sharks (Carcharhinus perezi) in the Bahamas,ENVIRONMENTAL BIOLOGY OF FISHES,2018,101,7,10.1007/s10641-017-0656-4,J,shipley2018
